space_is_pressed,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
1,6893929900,166,43420,1265,676,183,398,295,150,28,25
0,6925807000,242,43420,1265,676,183,398,295,150,28,25
0,6957719500,168,43420,1265,676,183,398,295,150,28,25
0,6989634100,180,43420,1265,676,183,398,295,150,28,25
0,7021549200,112,43420,1265,676,183,398,295,150,28,25
0,7053465100,378,43420,1265,676,183,398,295,150,28,25
0,7084880300,525,43420,1265,676,183,398,295,150,28,25
0,7116978100,545,43420,1265,676,183,398,295,150,28,25
0,7148050800,208,43420,1265,676,183,398,295,150,28,25
0,7179965100,48,43420,1265,676,183,398,295,150,28,25
0,7211880200,-260,4136,11599,5029,930,1934,949,428,600,0
0,7243793000,-316,4136,11599,5029,930,1934,949,428,600,0
0,7275707200,-425,4136,11599,5029,930,1934,949,428,600,0
0,7306913400,-165,4136,11599,5029,930,1934,949,428,600,0
0,7338814100,122,4136,11599,5029,930,1934,949,428,600,0
0,7369939100,197,4136,11599,5029,930,1934,949,428,600,0
0,7400119000,294,4136,11599,5029,930,1934,949,428,600,0
0,7432353100,280,4136,11599,5029,930,1934,949,428,600,0
0,7464092300,225,4136,11599,5029,930,1934,949,428,600,0
0,7495710800,278,4136,11599,5029,930,1934,949,428,600,0
0,7526521800,59,4136,11599,5029,930,1934,949,428,600,0
0,7558187100,211,4136,11599,5029,930,1934,949,428,600,0
0,7589800500,220,4136,11599,5029,930,1934,949,428,600,0
0,7621366500,200,4136,11599,5029,930,1934,949,428,600,0
0,7652969800,124,4136,11599,5029,930,1934,949,428,600,0
0,7685425600,171,4136,11599,5029,930,1934,949,428,600,0
0,7717638800,108,4136,11599,5029,930,1934,949,428,600,0
0,7748990600,132,4136,11599,5029,930,1934,949,428,600,0
0,7780393900,146,4136,11599,5029,930,1934,949,428,600,0
0,7812297700,151,4136,11599,5029,930,1934,949,428,600,0
0,7843706600,71,4136,11599,5029,930,1934,949,428,600,0
1,7874559100,323,4136,11599,5029,930,1934,949,428,600,0
1,7905477900,610,4136,11599,5029,930,1934,949,428,600,0
1,7937387700,508,4136,11599,5029,930,1934,949,428,600,0
1,7969302400,-184,4136,11599,5029,930,1934,949,428,600,0
1,8000220600,-173,4136,11599,5029,930,1934,949,428,600,0
0,8031138200,-100,4136,11599,5029,930,1934,949,428,600,0
0,8063052800,-41,4136,11599,5029,930,1934,949,428,600,0
0,8095968500,-149,4136,11599,5029,930,1934,949,428,600,0
