jump,run_fire,timestamp_ns,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal
1,0,15970939700,-20,13601,13743,10398,10038,14291,7550,5223,9840,0
1,0,16082258000,66,13601,13743,10398,10038,14291,7550,5223,9840,0
1,0,16191796900,66,13601,13743,10398,10038,14291,7550,5223,9840,0
1,0,16300510800,20,24213,23450,6269,18301,4289,7907,4891,7744,0
1,0,16412306700,37,24213,23450,6269,18301,4289,7907,4891,7744,0
1,0,16521313200,22,24213,23450,6269,18301,4289,7907,4891,7744,0
0,0,16632692100,393,24213,23450,6269,18301,4289,7907,4891,7744,0
0,0,16741928600,-283,24213,23450,6269,18301,4289,7907,4891,7744,0
0,0,16852692700,-130,24213,23450,6269,18301,4289,7907,4891,7744,0
0,0,16962681900,112,24213,23450,6269,18301,4289,7907,4891,7744,0
0,0,17071850900,-22,24213,23450,6269,18301,4289,7907,4891,7744,0
1,0,17180956300,66,24213,23450,6269,18301,4289,7907,4891,7744,0
1,0,17289493700,117,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17398962000,0,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17509288400,2,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17618057900,19,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17726122100,86,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17835284100,84,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,17950187700,25,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,18060281800,-13,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,18169522300,48,65955,63027,19454,7792,1262,2481,1525,2942,0
1,0,18278806000,83,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,18388310200,8,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,18499693200,-9,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,18609686400,60,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,18718496400,51,5541,53622,3012,48675,10027,10790,6938,10354,0
1,0,18828768500,76,5541,53622,3012,48675,10027,10790,6938,10354,0
1,0,18937791600,103,5541,53622,3012,48675,10027,10790,6938,10354,0
1,0,19046511300,28,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,19154102400,23,5541,53622,3012,48675,10027,10790,6938,10354,0
0,0,19263878200,37,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19373475800,33,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19482224300,27,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19591328100,55,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19700915100,67,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19810630300,74,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,19920499100,49,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,20028893900,4,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,20137631800,40,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,20246131200,16,9138,18168,16013,47073,9123,6979,4068,9109,0
0,0,20351196800,33,8377,5828,7620,33305,11820,9908,3163,8272,0
0,0,20460535600,39,8377,5828,7620,33305,11820,9908,3163,8272,0
0,0,20569664900,35,8377,5828,7620,33305,11820,9908,3163,8272,0
0,0,20677634200,32,8377,5828,7620,33305,11820,9908,3163,8272,0
